score,num_people,accumulate
212,295,233451
211,297,233748
210,260,234008
209,276,234284
208,274,234558
207,250,234808
206,234,235042
205,257,235299
204,235,235534
203,241,235775
202,254,236029
201,242,236271
200,232,236503
199,232,236735
198,222,236957
197,221,237178
196,213,237391
195,202,237593
194,185,237778
193,189,237967
192,197,238164
191,189,238353
190,177,238530
189,193,238723
188,172,238895
187,172,239067
186,206,239273
185,153,239426
184,148,239574
183,147,239721
182,145,239866
181,157,240023
180,173,240196
179,114,240310
178,155,240465
177,145,240610
176,147,240757
175,130,240887
174,131,241018
173,133,241151
172,149,241300
171,114,241414
170,108,241522
169,124,241646
168,112,241758
167,100,241858
166,96,241954
165,113,242067
164,95,242162
163,95,242257
162,96,242353
161,72,242425
160,78,242503
159,76,242579
158,79,242658
157,82,242740
156,88,242828
155,81,242909
154,90,242999
153,74,243073
152,69,243142
151,56,243198
150,55,243253
149,46,243299
148,58,243357
147,47,243404
146,49,243453
145,42,243495
144,49,243544
143,38,243582
142,47,243629
141,43,243672
140,42,243714
